word,groundTruth,condition
tree,2.0,concrete
tree,49.0,concrete
tree,13.0,concrete
chalk,9.0,concrete
chalk,2.0,concrete
chalk,50.0,concrete
chalk,1.0,concrete
chalk,1.0,concrete
chalk,50.0,concrete
chalk,2.0,concrete
chalk,1.0,concrete
chalk,9.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,1.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,2.0,concrete
chalk,2.0,concrete
chalk,4.0,concrete
chalk,50.0,concrete
chalk,9.0,concrete
chalk,9.0,concrete
chalk,1.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,5.0,concrete
chalk,50.0,concrete
chalk,5.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,2.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,9.0,concrete
chalk,2.0,concrete
chalk,50.0,concrete
chalk,5.0,concrete
chalk,4.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,3.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,2.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,9.0,concrete
chalk,50.0,concrete
chalk,4.0,concrete
chalk,4.0,concrete
chalk,5.0,concrete
chalk,50.0,concrete
chalk,3.0,concrete
chalk,1.0,concrete
chalk,1.0,concrete
chalk,3.0,concrete
chalk,50.0,concrete
chalk,3.0,concrete
chalk,1.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,5.0,concrete
chalk,2.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,2.0,concrete
chalk,50.0,concrete
chalk,5.0,concrete
chalk,50.0,concrete
chalk,3.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,2.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,1.0,concrete
chalk,9.0,concrete
chalk,50.0,concrete
chalk,50.0,concrete
chalk,2.0,concrete
chalk,50.0,concrete
chalk,9.0,concrete
chalk,5.0,concrete
chalk,50.0,concrete
